"value_id","package_id","group_id","name","value_actual","type_id","sort_order","is_active"
1,"core","core_seo","title_separator","{\"val\":\"&#187;\"}","yesno",0,1
2,"core","core_seo","site_title","{\"val\":\"Social Network\"}","yesno",0,1
3,"core","core_seo","keyword","{\"val\":\"\"}","yesno",0,1
4,"core","core_seo","description","{\"val\":\"\"}","yesno",0,1
5,"core","core_seo","site_copyright","{\"val\":\"Copyright &copyright;\"}","yesno",0,1
6,"core","core_site","full_ajax_mode","{\"val\":\"0\"}","yesno",0,1
7,"core","core_site","2_step_verify","{\"val\":\"Social Network\"}","yesno",0,1
8,"core","core_site","private_network","{\"val\":\"0\"}","yesno",0,1
9,"core","core_site","cookie_path","{\"val\":\"/\"}","yesno",0,1
10,"core","core_site","cookie_domain","{\"val\":\"\"}","yesno",0,1
11,"core","core_site","cookie_prefix","{\"val\":\"f\"}","yesno",0,1
12,"core","core_offline","enable","{\"val\":\"0\"}","yesno",0,1
13,"core","core_offline","code","{\"val\":\"0\"}","yesno",0,1
14,"user","user_register","display_dob","{\"val\":\"0\"}","yesno",0,1
15,"user","user_register","display_gender","{\"val\":\"0\"}","yesno",0,1
16,"user","user_register","display_location","{\"val\":\"0\"}","yesno",0,1
17,"user","user_register","display_timezone","{\"val\":\"0\"}","yesno",0,1
18,"user","user_register","display_username","{\"val\":\"1\"}","yesno",0,1
19,"user","user_register","display_reenter_email","{\"val\":\"0\"}","yesno",0,1
20,"user","user_register","display_reenter_password","{\"val\":\"0\"}","yesno",0,1
21,"user","user_register","redirection_url","{\"val\":\"0\"}","yesno",0,1
22,"user","user_register","display_term_of_use","{\"val\":\"0\"}","yesno",0,1
23,"friend","user_register","auto_friend_list","{\"val\":\"0\"}","yesno",0,1
24,"friend","user_register","welcome_email","{\"val\":\"0\"}","yesno",0,1
25,"friend","user_register","require_verify_email","{\"val\":\"0\"}","yesno",0,1
26,"friend","user_register","verify_email_timeout","{\"val\":\"0\"}","yesno",0,1
27,"core","core_seo","google_api_key","{\"val\":\"\"}","yesno",0,1
28,"core","core_seo","google_analytic_id","{\"val\":\"\"}","yesno",0,1
29,"core","core_seo","facebook_app_id","{\"val\":\"\"}","yesno",0,1
30,"core","core_allow_html","enable","{\"val\":\"1\"}","yesno",0,1
31,"core","core_allow_html","tags","{\"val\":\"<p><br><br /><strong><em><u><ul><li><font><ol><img><div><span><blockquote><strike><sub><sup><h1><h2><h3><h4><h5><h6><a><b><i><hr><tt><s><center><big><abbr><pre><small><object><embed><param><code>\"}","yesno",0,1
32,"core","core_seo","keyword_limit","{\"val\":\"\"}","yesno",0,1
34,"core","core_seo","description_limit","{\"val\":\"\"}","yesno",0,1
35,"core","core_seo","facebook_enable","{\"val\":\"\"}","yesno",0,1
36,"core","core_seo","google_api_enable","{\"val\":\"0\"}","yesno",0,1
37,"core","core_seo","google_analytic_enable","{\"val\":\"0\"}","yesno",0,1
38,"core","core_site","allow_html","{\"val\":\"0\"}","yesno",0,1
39,"core","core_site","allow_html_tags","{\"val\":\"<p><br><br /><strong><em><u><ul><li><font><ol><img><div><span><blockquote><strike><sub><sup><h1><h2><h3><h4><h5><h6><a><b><i><hr><tt><s><center><big><abbr><pre><small><object><embed><param><code>\"}","yesno",0,1
40,"core","core_site","secure_image_enable","{\"val\":\"0\"}","yesno",0,1
41,"core","core_seo","facebook_app_name","{\"val\":\"\"}","yesno",0,1
42,"user","user_register","display_password","{\"val\":\"0\"}","yesno",0,1
43,"friend","user_register","notify_admin","{\"val\":\"0\"}","yesno",0,1
44,"user","user_register","auto_approval","{\"val\":\"0\"}","yesno",0,1
45,"friend","user_register","register_mode","{\"val\":\"0\"}","yesno",0,1
48,"friend","user_register","upload_avatar","{\"val\":\"0\"}","yesno",0,1
49,"friend","user_register","invite_friends","{\"val\":\"0\"}","yesno",0,1
50,"user","user_register","choose_subscription","{\"val\":\"0\"}","yesno",0,1
51,"user","user_register","auto_login","{\"val\":\"1\"}","yesno",0,1
52,"core","core_mail","adapter_id","{\"val\":\"2\"}","yesno",0,1
53,"core","core_mail","queue_enable","{\"val\":\"0\"}","yesno",0,1
54,"core","core_mail","queue_limit","{\"val\":\"20\"}","yesno",0,1
55,"core","test_mail","to","{\"val\":\"\"}","yesno",0,1
56,"core","test_mail","message","{\"val\":\"Dear , \\n            \\nThis is test email\\n \\n \\n- send at\"}","yesno",0,1
57,"core","test_mail","subject","{\"val\":\"This is test email\"}","yesno",0,1
58,"core","core_i18n","locale_id","{\"val\":\"vi\"}","yesno",0,1
59,"core","core_i18n","timezone_id","{\"val\":\"UTC+0\"}","yesno",0,1
60,"core","core_site","storage_id","{\"val\":\"1\"}","yesno",0,1
61,"core","core_i18n","currency_id","{\"val\":\"USD\"}","yesno",0,1
